contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiration,days_to_expiry,T
BAC260227C00040000,2026-01-16 14:53:32+00:00,40.0,12.73,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00044000,2026-01-16 14:34:30+00:00,44.0,8.8,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00045000,2026-01-12 19:14:24+00:00,45.0,10.23,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00046000,2026-01-26 19:05:38+00:00,46.0,6.45,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00047000,2026-01-23 15:05:48+00:00,47.0,5.18,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00048000,2026-01-26 17:34:44+00:00,48.0,4.5,0.0,0.0,0.0,0.0,101.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00049000,2026-01-26 18:51:31+00:00,49.0,3.65,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00050000,2026-01-26 20:49:39+00:00,50.0,2.75,0.0,0.0,0.0,0.0,431.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00051000,2026-01-26 16:53:07+00:00,51.0,2.0,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00052000,2026-01-26 19:12:02+00:00,52.0,1.5,0.0,0.0,0.0,0.0,36.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00053000,2026-01-26 20:39:50+00:00,53.0,0.94,0.0,0.0,0.0,0.0,35.0,0,0.015634843750000002,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00054000,2026-01-26 20:50:24+00:00,54.0,0.57,0.0,0.0,0.0,0.0,42.0,0,0.0312596875,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00055000,2026-01-26 20:56:08+00:00,55.0,0.34,0.0,0.0,0.0,0.0,198.0,0,0.062509375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00056000,2026-01-26 19:40:18+00:00,56.0,0.21,0.0,0.0,0.0,0.0,17.0,0,0.062509375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227C00057000,2026-01-26 15:33:29+00:00,57.0,0.14,0.0,0.0,0.0,0.0,3.0,0,0.062509375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
