contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiration,days_to_expiry,T
BAC260227P00040000,2026-01-23 18:16:04+00:00,40.0,0.1,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00041000,2026-01-26 20:43:59+00:00,41.0,0.05,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00042000,2026-01-26 15:10:03+00:00,42.0,0.07,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00044000,2026-01-22 16:12:09+00:00,44.0,0.1,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00045000,2026-01-26 19:24:30+00:00,45.0,0.12,0.0,0.0,0.0,0.0,4.0,0,0.12500875,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00046000,2026-01-26 14:41:43+00:00,46.0,0.14,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00047000,2026-01-26 14:41:51+00:00,47.0,0.22,0.0,0.0,0.0,0.0,1.0,0,0.062509375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00048000,2026-01-26 19:57:48+00:00,48.0,0.28,0.0,0.0,0.0,0.0,207.0,0,0.062509375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00049000,2026-01-26 20:36:40+00:00,49.0,0.39,0.0,0.0,0.0,0.0,109.0,0,0.062509375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00050000,2026-01-26 19:57:48+00:00,50.0,0.57,0.0,0.0,0.0,0.0,109.0,0,0.0312596875,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00051000,2026-01-26 20:30:05+00:00,51.0,0.84,0.0,0.0,0.0,0.0,11.0,0,0.015634843750000002,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00052000,2026-01-26 20:43:59+00:00,52.0,1.21,0.0,0.0,0.0,0.0,22.0,0,0.000986552734375,False,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00053000,2026-01-26 20:11:02+00:00,53.0,1.65,0.0,0.0,0.0,0.0,18.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00054000,2026-01-26 15:00:39+00:00,54.0,2.37,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00055000,2026-01-26 14:35:08+00:00,55.0,3.3,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
BAC260227P00056000,2026-01-20 14:51:41+00:00,56.0,3.45,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD,BAC,2026-02-27,31,0.08493150684931507
